# Country	Population	Date	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Continent
Burundi	11175378	2020-04-12	5	0	0.0	0.0	0.0	0.0	Africa
Cabo Verde	543767	2020-04-13	10	1	18.0	2.0	6.0	0.0	Africa
Cambodia	16249798	2020-04-12	122	0	8.0	0.0	0.0	0.0	Asia
Cameroon	25216237	2020-04-12	820	12	33.0	0.0	7.0	0.0	Africa
Canada	37058856	2020-04-13	25679	779	693.0	21.0	246.0	12.0	North America
Central African Republic	4666377	2020-04-13	11	0	2.0	0.0	1.0	0.0	Africa
Chad	15477751	2020-04-13	23	0	1.0	0.0	1.0	0.0	Africa
Chile	18729160	2020-04-13	7525	82	402.0	4.0	145.0	2.0	South America
China	1392730000	2020-04-13	83213	3345	60.0	2.0	0.0	0.0	Asia
Colombia	49648685	2020-04-13	2852	112	57.0	2.0	26.0	1.0	South America
Congo (Brazzaville)	5244363	2020-04-12	60	5	11.0	1.0	3.0	0.0	Africa
Congo (Kinshasa)	84068091	2020-04-13	235	20	3.0	0.0	1.0	0.0	Africa
Costa Rica	4999441	2020-04-13	612	3	122.0	1.0	29.0	0.0	North America
Croatia	4089400	2020-04-13	1650	25	403.0	6.0	105.0	2.0	Europe
Cuba	11338138	2020-04-13	726	21	64.0	2.0	33.0	1.0	North America
Cyprus	1189265	2020-04-13	662	12	557.0	10.0	166.0	3.0	Europe
Czechia	10625695	2020-04-13	6059	143	570.0	13.0	116.0	6.0	Europe
Denmark	5797446	2020-04-13	6513	285	1123.0	49.0	283.0	17.0	Europe
Diamond Princess		2020-04-12	712	11	0	0	0	0	
Djibouti	958920	2020-04-13	298	2	311.0	2.0	217.0	2.0	Africa
Dominica	71625	2020-04-12	16	0	223.0	0.0	28.0	0.0	North America
Dominican Republic	10627165	2020-04-13	3167	177	298.0	17.0	126.0	9.0	North America
Ecuador	17084357	2020-04-13	7529	355	441.0	21.0	221.0	10.0	South America
Egypt	98423595	2020-04-13	2190	164	22.0	2.0	9.0	1.0	Africa
El Salvador	6420744	2020-04-13	137	6	21.0	1.0	11.0	0.0	North America
Equatorial Guinea	1308974	2020-04-12	21	0	16.0	0.0	4.0	0.0	Africa
Eritrea	5750433	2020-04-12	34	0	6.0	0.0	1.0	0.0	Africa
Estonia	1320884	2020-04-13	1332	28	1008.0	21.0	170.0	7.0	Europe
Eswatini	1136191	2020-04-13	15	0	13.0	0.0	4.0	0.0	Africa
Ethiopia	109224559	2020-04-13	74	3	1.0	0.0	0.0	0.0	Africa
Fiji	883483	2020-04-12	16	0	18.0	0.0	5.0	0.0	Oceania
Finland	5518050	2020-04-13	3064	59	555.0	11.0	161.0	6.0	Europe
France	66987244	2020-04-13	137875	14986	2058.0	224.0	581.0	90.0	Europe
Gabon	2119275	2020-04-13	57	1	27.0	0.0	16.0	0.0	Africa
Gambia	2280102	2020-04-12	9	1	4.0	0.0	2.0	0.0	Africa
Georgia	3731000	2020-04-13	272	3	73.0	1.0	23.0	0.0	Asia
Germany	82927922	2020-04-13	130072	3194	1568.0	39.0	322.0	17.0	Europe
Ghana	29767108	2020-04-12	566	8	19.0	0.0	12.0	0.0	Africa
Greece	10727668	2020-04-13	2145	99	200.0	9.0	36.0	2.0	Europe
Grenada	111454	2020-04-12	14	0	126.0	0.0	18.0	0.0	North America
Guatemala	17247807	2020-04-13	156	5	9.0	0.0	5.0	0.0	North America
